commercial_name,alternative_name,clinical_phase,mechanism_of_action,target,disease_area,indication
10-DAB,10-Deacetylbaccatin,Preclinical,antitumor agent,,oncology,
2-Methoxyestradiol,,Phase 2,hypoxia inducible factor inhibitor,COMT|CYP19A1|CYP1A1|CYP1B1|HIF1A|TUBB,,
2-Thiouracil,,Preclinical,,,,
5-Aminolevulinic acid hydrochloride,,Launched,oxidizing agent,ALAD,,
Abacavir sulfate,,Launched,nucleoside reverse transcriptase inhibitor,,infectious disease,human immunodeficiency virus (HIV-1)
ABAMECTIN,,Launched,benzodiazepine receptor agonist,GABBR1|GABBR2,infectious disease,gastrointestinal parasites
Abiraterone,CB-7598,Launched,androgen biosynthesis inhibitor,CYP11B1|CYP17A1,oncology,prostate cancer
Abiraterone Acetate,CB7630,Launched,androgen biosynthesis inhibitor,CYP17A1,oncology,prostate cancer
Abitrexate,Methotrexate,Launched,dihydrofolate reductase inhibitor,DHFR,oncology|hematologic malignancy|dermatology|rheumatology,gestational choriocarcinoma|hydatidiform mole|acute lymphoblastic leukemia (ALL)|psoriasis|rheumatoid arthritis
Acadesine,,Phase 3,AMPK activator,,,
Acarbose,,Launched,glucosidase inhibitor,AMY2A|GAA|MGAM|SI,endocrinology,diabetes mellitus
ACECLOFENAC,,Launched,prostanoid receptor antagonist,PTGS2,rheumatology,rheumatoid arthritis|ankylosing spondylitis|osteoarthritis|periarthritis|lumbago|ischiadynia
Acemetacin,Emflex ,Launched,cyclooxygenase inhibitor,PTGS1|PTGS2,rheumatology,osteoarthritis
Acetylcholine chloride,,Launched,acetylcholine receptor agonist,ACHE|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|CHRNA2,neurology/psychiatry|gastroenterology|pulmonary,drowsiness|fatigue|headache|indigestion|chest congestion
Acetylcysteine,,Launched,mucolytic agent,ACY1|CHUK|GRIN1|GRIN2A|GRIN2B|GRIN2D|GRIN3A|GSS|IKBKB|RELA|SLC7A11,gastroenterology,acetaminophen overdose|hepatic injury
Acipimox,,Launched,cholesterol inhibitor,HCAR2,endocrinology,hyperlipidemia
Acitretin,,Launched,retinoid receptor agonist,RARA|RARB|RARG|RBP1|RXRA|RXRB|RXRG|STAT3,dermatology,psoriasis
ACTARIT,,Launched,interleukin receptor agonist,,rheumatology,rheumatoid arthritis
Acyclovir,Aciclovir,Launched,DNA polymerase inhibitor,PNP,infectious disease,genitial herpes|shingles|chicken pox
ADAPALENE,,Launched,retinoid receptor agonist,RARA|RARB|RARG|RXRA|RXRB|RXRG,dermatology,acne vulgaris (AV)
Adapalene,,Launched,retinoid receptor agonist,RARA|RARB|RARG|RXRA|RXRB|RXRG,dermatology,acne vulgaris (AV)
ADEFOVIR DIPIVOXIL,,Launched,DNA polymerase inhibitor,,infectious disease,hepatitis B
Adefovir Dipivoxil,"Preveon, Hepsera ",Launched,DNA polymerase inhibitor,,infectious disease,hepatitis B
