compound_name,cas_number,smiles,primary_category,secondary_category,tertiary_category,primary_action,biological_description,Mol Weight
(-)-Quinpirole hydrochloride,[85798-08-9],Cl.[H][C@]12CCCN(CCC)[C@]1([H])CC1=CNN=C1C2,7-TM Receptors,Dopamine Receptors,Non-selective Dopamine,Selective D2-like agonist,"Selective dopamine D2 receptor agonist (Ki values are 4.8, ~24, ~30 and 1900 nM at D2, D3, D4 and D1 receptors respectively).",255.79
(-)-U-50488 hydrochloride,[114528-79-9],O=C(CC3=CC(Cl)=C(Cl)C=C3)N([C@@H]1[C@@H](N2CCCC2)CCCC1)C.Cl,7-TM Receptors,Opioid Receptors,Kappa Opioid Receptors,Selective kappa agonist; more active enantiomer of (+/-)-U-50488 (Cat. No. 0495),More active enantiomer of (+/-)-U-50488. Racemate and (+)-enantiomer also available.,405.79
(+)-JQ1,[1268524-70-4],O=C(OC(C)(C)C)C[C@@H]1N=C(C4=CC=C(Cl)C=C4)C3=C(SC(C)=C3C)N2C1=NN=C2C,Epigenetics,Bromodomains,,Potent and selective BET bromodomain inhibitor; cell permeable,"Potent, high affinity, selective BET bromodomain inhibitor (IC50 values are 17.7, 32.6, 76.9 and 12942 nM for BRD2 (N-terminal (N)), BRD4 (C-terminal (C)), BRD4 (N) and CREBBP respectively; Kd values are 49, 59.5, 82, 90.1, 128 and 190 nM for BRD4 (N), BRD3 (N), BRD3 (C), BRD4 (C), BRD2 (N) and BRDT (N) respectively). Induces squamous differentiation in NUT midline carcinoma (NMC) cell lines; inhibits tumor growth in NMC xenograft models in vivo. Exhibits reversible contraceptive effects in germ cells from male mice. Inactive Analog also available. Carboxylic acid-functionalized (Cat. No. 6588) and click-activated (alkyne) (Cat. No. 6589) versions for PROTAC development also available.",456.99
(+)-MK 801 maleate,[77086-22-7],O=C(O)/C=C\C(O)=O.C[C@]1(N4)C3=C(C=CC=C3)C[C@@H]4C2=C1C=CC=C2,Ion Channels,Ligand-gated Ion Channels,Glutamate (Ionotropic) Receptors,Non-competitive NMDA antagonist; acts at ion channel site,"A potent, selective and non-competitive NMDA receptor antagonist. Acts by binding to a site located within the NMDA associated ion channel and thus prevents Ca2+ flux. An effective anti-ischemic agent in several animal models. Available as part of the Mixed NMDA Receptor Tocriset™. (-)-enantiomer also available.",337.37
(+/-)-5'-Chloro-5'-deoxy-ENBA,[103626-26-2],O[C@@H]1[C@H](O)[C@@H](CCl)O[C@H]1N(C=N3)C2=C3C(NC4C5CCC(C5)C4)=NC=N2,7-TM Receptors,Adenosine Receptors,Adenosine A1 Receptors,Highly selective A1 agonist,"Highly selective adenosine A1 receptor agonist (Ki values are 0.51, 1290, 1340 and 2740 nM at A1, A3, A2A and A2B receptors respectively). Reverses formaline-induced nocifensive behavior in mice; antinociceptive.",379.84
(+/-)-AC 7954 hydrochloride,[477313-09-0],Cl.CN(C)CCC1(CC2=CC=CC=C2C(=O)O1)C1=CC=C(Cl)C=C1,7-TM Receptors,Peptide Receptors,Urotensin-II Receptors,Non-peptide UT receptor agonist,"Highly selective, non-peptide urotensin-II (UT) receptor agonist that displays potent activity at human and rat UT receptors (pEC50 values are 6.5 and 6.7 respectively).",366.28
(+/-)-AMG 487,[947536-03-0],CCOC(C=C3)=CC=C3N2C(C1=CC=CN=C1N=C2C(N(CC4=CC=CN=C4)C(CC5=CC=C(OC(F)(F)F)C=C5)=O)C)=O,7-TM Receptors,Chemokine Receptors,Chemokine CXC Receptors,CXCR3 antagonist; inhibits cell migration and metastasis,"Antagonist of CXCR3; inhibits binding of 125I-IP-10 and 125I-ITAC to CXCR3 (IC50 values are 8.0 and 8.2 nM respectively). Inhibits CXCR3-mediated cell migration by the chemokines IP-10, ITAC and MiG in vitro (IC50 values are 8, 15 and 36 nM respectively). Also shown to inhibit lung metastasis in a mouse model of metastatic breast cancer. This product is racemic. ",603.59
(+/-)-CPSI 1306,[1309793-47-2],FC(C=C2F)=CC=C2C1=NOC(CC(N3CCOCC3)=O)C1,Signal Transduction,Cytokine and NF-kB Signaling,Cytokines,Reported macrophage migration inhibitory factor (MIF) inhibitor,Reported to be a macrophage inhibitory factor (MIF) inhibitor. This product is racemic. ,310.3
(+/-)-NBI 74330,[473722-68-8],CCOC(C=C3)=CC=C3N2C(C1=CC=CN=C1N=C2C(N(CC4=CC=CN=C4)C(CC5=CC(C(F)(F)F)=C(F)C=C5)=O)C)=O,7-TM Receptors,Chemokine Receptors,Chemokine CXC Receptors,Potent and selective CXCR3 antagonist,Potent and selective CXCR3 antagonist; potently inhibits 125I-CXCL10 binding to CXCR3 (pKi = 8.13). Inhibits calcium mobilization in response to CXCL11 and CXCL10 in RBL cells. Exhibits no significant effect on chemotaxis induced by CXCR4 or CCR7. Displays a five-fold greater affinity for CXCR3 than (+/-)-AMG 487. This product is racemic. ,605.58
(+/-)-SLV 319,[362519-49-1],ClC(C=C4)=CC=C4C1=NN(/C(NS(C3=CC=C(Cl)C=C3)(=O)=O)=N\C)CC1C2=CC=CC=C2,7-TM Receptors,Cannabinoid Receptors,CB1 Receptors,High affinity and selective CB1 antagonist,"High affinity and selective CB1 receptor antagonist (Ki = 7.8 nM). Exhibits 1000-fold selectivity for CB1 over CB2 receptors. Inhibits CP 55,940-induced hypotension and WIN 55,212-2-induced hypothermia in vivo. Orally active.",487.4
